guidetpye,subjID,picID,score,imprtype,age,gender,ext,agrr,con,neu,ope,choice,SID,SumWeiGA,SumWeiFO,SumWeiEY,SumWeiEB,SumWeiM,SumWeiN,MeaWeiGA,MeaWeiFO,MeaWeiEY,MeaWeiEB,MeaWeiM,MeaWeiN,MeaWeiEyN,MeaWeiNM,MeaWeiEyM,MeaWeiEyNM
eyewatch,P09,AgrM3,0,Agr,27,f,3.5,6,3.5,4.5,4,4,subj02F,17.826595541190777,0,33.68446889105065,10.295706146757551,0,77.50475793288847,0.016598319870754913,0,0.008859670933995437,0.002494114861133128,0,0.011240719062057791,9.958907195132185e-5,0,0,0
eyewatch,P09,OpeF3,1,Ope,27,f,3.5,6,3.5,4.5,4,5,subj02F,11.309359714085861,0,69.54467459271177,0.09239185030747994,0,64.79863641551994,0.007656980172028342,0,0.011761318212871939,1.3140641488761192e-5,0,0.008471517376849253,9.963621161499822e-5,0,0,0
eyewatch,P09,ExtF2,0,Ext,27,f,3.5,6,3.5,4.5,4,4,subj02F,55.30372324322573,9.81686058657915,10.168644947646996,0.40262133407341266,0,112.85386251449766,0.031802026016806054,4.721006341530802e-4,0.0017246684103878894,7.814855086828663e-5,0,0.013190026006837033,2.2748421186186547e-5,0,0,0
eyewatch,P09,AgrF2,1,Agr,27,f,3.5,6,3.5,4.5,4,5,subj02F,51.43342106286799,0.09757875880984591,23.310047547798952,0,0.02898004180750501,63.694926163695015,0.028260121463114282,5.531989274326544e-6,0.00539834357290388,0,5.217868528538892e-6,0.009302603499882432,5.0218649814863464e-5,4.853976203551229e-8,2.8167847035295352e-8,2.620343124146915e-10
eyewatch,P09,ExtM3,1,Ext,27,f,3.5,6,3.5,4.5,4,5,subj02F,3.570453209882698,0,17.491542843267517,0.04343573810180586,1.4030903100778325,95.03428897407598,0.0019093332673169507,0,0.002904124662671014,8.526842972478573e-6,1.7586993107017204e-4,0.011228058716218806,3.260768223168928e-5,1.9746779124732456e-6,5.107482042431379e-7,5.734710826445268e-9
eyewatch,P09,AgrF3,2,Agr,27,f,3.5,6,3.5,4.5,4,6,subj02F,0.003461311055538333,0,80.3472174514256,0,0,109.05920778219237,3.234870145362928e-6,0,0.018149360165219248,0,0,0.014300971385023915,2.5955348037929335e-4,0,0,0
eyewatch,P09,NeuF1,1,Neu,27,f,3.5,6,3.5,4.5,4,5,subj02F,89.25548971062332,0,2.0465442086910968,18.49015031485636,0,71.04710427946912,0.04530735518305752,0,3.906364208228854e-4,0.0030557181151638344,0,0.007413868755031736,2.8961271549162187e-6,0,0,0
eyewatch,P09,OpeM2,2,Ope,27,f,3.5,6,3.5,4.5,4,6,subj02F,0,0,0,0,0,168.45654308096445,0,0,0,0,0,0.016502404298683822,0,0,0,0
eyewatch,P09,ExtM5,2,Ext,27,f,3.5,6,3.5,4.5,4,6,subj02F,35.96800002327129,0,23.12203680617494,0.9461617597905756,0,176.1709729359587,0.024874135562428276,0,0.003781199804771045,1.738628739049202e-4,0,0.022143158991447802,8.372770845547664e-5,0,0,0
eyewatch,P09,AgrF5,2,Agr,27,f,3.5,6,3.5,4.5,4,6,subj02F,48.96183233009394,0.014236377042075778,50.48628057472949,8.148647727647717,29.5187559015856,74.23611169102757,0.028318005974606097,6.93983476751281e-7,0.010203371175167642,0.001641548696141764,0.004790450487112236,0.0076706046384612085,7.82660262641823e-5,3.6745651726761874e-5,4.8878744416268776e-5,3.7492952364159114e-7
eyewatch,P09,AgrM1,1,Agr,27,f,3.5,6,3.5,4.5,4,5,subj02F,80.47997252872206,0.31117588357164044,21.72417934541947,0.5592380470778308,0,151.8860709087699,0.06171777034411201,1.9099919197866465e-5,0.005553215579094956,1.309997767809395e-4,0,0.019867373565568332,1.1032780840001337e-4,0,0,0
eyewatch,P09,OpeF4,0,Ope,27,f,3.5,6,3.5,4.5,4,4,subj02F,13.365375909971023,28.868367385915676,143.25397766483275,0.44730656721875417,0,92.05634367998309,0.0063373048411432065,0.0014214568607964781,0.022365960603408702,8.266615546456369e-5,0,0.01051711912258461,2.3522547195708367e-4,0,0,0
eyewatch,P09,AgrM4,0,Agr,27,f,3.5,6,3.5,4.5,4,4,subj02F,0.6298764350583326,44.999214957023426,47.836852937811415,0.028838043356724102,0,146.0858455972707,4.0376694555021317e-4,0.0022814446844972333,0.01225957276725049,6.064783040320526e-6,0,0.01927508188379347,2.363042689490777e-4,0,0,0
eyewatch,P09,OpeF5,2,Ope,27,f,3.5,6,3.5,4.5,4,6,subj02F,101.03019806978853,0,20.047364554489594,0.3329869495284058,0,7.520420921569885,0.04957320808134864,0,0.0033169034669903365,4.658463199893758e-5,0,7.978379929524596e-4,2.6463516049206253e-6,0,0,0
eyewatch,P09,OpeM1,0,Ope,27,f,3.5,6,3.5,4.5,4,4,subj02F,26.54197714337556,0,11.34546274235812,5.166837606444459,0,182.22052904792838,0.014125586558475551,0,0.0016905770738128625,6.844400061523989e-4,0,0.01686134256018584,2.8505399165955256e-5,0,0,0
